sdxlltn,sd35turbo,sd35med,sd35large
14,3,3,3
26,29,14,14
28,24,28,18
28,18,20,11
0,35,5,0
0,28,4,0
0,28,1,0
0,27,3,0
0,29,2,0
33,8,0,0
29,18,0,0
28,17,0,0
27,20,0,0
29,16,0,0
27,21,0,0
28,20,0,0
28,21,0,0
28,20,0,0
27,22,0,0
25,20,0,0
25,12,0,0
28,19,0,0
28,17,0,0
27,24,0,0
33,3,0,0
27,4,0,0
29,8,0,0
28,5,0,0
27,6,0,0
27,10,0,0
27,9,0,0
27,5,0,0
29,12,0,0
27,9,0,0
20,18,0,0
28,16,0,0
26,20,0,0
28,15,0,0
28,18,0,0
26,24,0,0
29,16,0,0
28,25,0,0
28,20,0,0
27,18,0,0
29,9,0,0
28,8,0,0
27,9,0,0
29,15,0,0
27,14,0,0
30,9,0,0
27,9,0,0
29,10,0,0
28,2,0,0
28,10,0,0
22,13,0,0
28,9,0,0
28,12,0,0
28,17,0,0
28,12,0,0
26,14,0,0
26,19,0,0
29,15,0,0
27,17,0,0
28,11,0,0
27,15,0,0
29,17,0,0
27,16,0,0
28,17,0,0
28,18,0,0
28,11,0,0
29,16,0,0
29,11,0,0
26,9,0,0
28,10,0,0
28,7,0,0
29,11,0,0
28,9,0,0
27,7,0,0
28,6,0,0
20,15,0,0
28,17,0,0
28,17,0,0
28,14,0,0
27,14,0,0
29,17,0,0
28,12,0,0
28,21,0,0
26,19,0,0
29,18,0,0
28,13,0,0
28,13,0,0
27,14,0,0
27,13,0,0
26,14,0,0
30,7,0,0
29,10,0,0
27,10,0,0
28,11,0,0
29,4,0,0
24,16,0,0
27,7,0,0
29,12,0,0
26,15,0,0
28,16,0,0
27,20,0,0
28,14,0,0
28,20,0,0
27,14,0,0
29,20,0,0
31,9,0,0
27,13,0,0
28,11,0,0
28,17,0,0
28,14,0,0
27,14,0,0
29,17,0,0
27,9,0,0
28,10,0,0
27,15,0,0
32,6,0,0
27,9,0,0
29,8,0,0
27,12,0,0
27,3,0,0
26,16,0,0
26,14,0,0
28,15,0,0
27,13,0,0
28,17,0,0
28,15,0,0
27,17,0,0
28,18,0,0
28,17,0,0
28,19,0,0
31,12,0,0
28,12,0,0
28,9,0,0
28,13,0,0
27,13,0,0
31,9,0,0
28,6,0,0
27,7,0,0
27,7,0,0
30,11,0,0
23,9,0,0
29,15,0,0
27,15,0,0
28,11,0,0
28,18,0,0
24,18,0,0
24,18,0,0
28,16,0,0
28,23,0,0
27,19,0,0
30,15,0,0
27,13,0,0
27,14,0,0
29,20,0,0
28,17,0,0
30,6,0,0
27,13,0,0
29,12,0,0
28,8,0,0
26,9,0,0
28,9,0,0
28,8,0,0
27,7,0,0
30,7,0,0
27,11,0,0
25,13,0,0
26,5,0,0
28,15,0,0
29,8,0,0
26,12,0,0
20,24,0,0
23,23,0,0
28,21,0,0
27,22,0,0
29,24,0,0
27,15,0,0
27,9,0,0
27,12,0,0
30,16,0,0
27,13,0,0
30,10,0,0
27,8,0,0
28,10,0,0
28,11,0,0
28,7,0,0
28,12,0,0
28,9,0,0
27,7,0,0
28,7,0,0
28,10,0,0
21,18,0,0
27,17,0,0
27,19,0,0
30,18,0,0
28,16,0,0
27,18,0,0
29,17,0,0
24,17,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
